contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,historical_volatility,iv_hv_ratio,optionType,expiration
AAPL241220C00115000,2024-12-06 19:02:02+00:00,115.0,129.0,131.95,132.5,0.0,0.0,40.0,518,2.1923873315429683,True,REGULAR,USD,0.1301781970841726,16.841432595086417,call,2024-12-20
AAPL241220C00120000,2024-12-06 15:22:53+00:00,120.0,124.27,127.15,127.65,0.0,0.0,2.0,232,2.16406708984375,True,REGULAR,USD,0.1301781970841726,16.623882787718088,call,2024-12-20
AAPL241220C00125000,2024-12-03 19:32:11+00:00,125.0,117.54,121.95,122.3,0.0,0.0,108.0,206,1.92578162109375,True,REGULAR,USD,0.1301781970841726,14.793426735266188,call,2024-12-20
